"city","region","country","logins","latitude","longitude"
"Seattle","WA","US",746,47.6062095,-122.3320708
"Port Orchard","WA","US",45,47.5403732,-122.6362492
"Cedar Crest","NM","US",30,35.1075459,-106.3728019
"Duvall","WA","US",28,47.7423218,-121.9856781
"Kent","WA","US",26,47.3809335,-122.2348431
"Arcadia","CA","US",25,34.1397292,-118.0353449
"Portland","OR","US",16,45.5230622,-122.6764816
"Redmond","WA","US",14,47.6739881,-122.121512
"Las Vegas","NV","US",10,36.1699412,-115.1398296
"Salt Lake City","UT","US",10,40.7607793,-111.8910474
"Everett","WA","US",9,47.9789848,-122.2020794
"Lynnwood","WA","US",8,47.8209301,-122.3151313
"Kent","OH","US",6,41.1536674,-81.3578859
"North Vancouver","BC","CA",6,49.3269904,-123.0732801
"Gig Harbor","WA","US",5,47.329264,-122.5801293
"Iowa City","IA","US",5,41.6611277,-91.5301683
"Mountlake Terrace","WA","US",5,47.7881528,-122.3087405
"Spanaway","WA","US",5,47.103988,-122.4345661
"Ann Arbor","MI","US",4,42.2808256,-83.7430378
"Hayward","CA","US",4,37.6688205,-122.0807964
"Winslow","WA","US",4,47.6251634,-122.5144653
"Bellevue","WA","US",3,47.610377,-122.2006786
"Friday Harbor","WA","US",3,48.5342662,-123.0171242
"Napa","CA","US",3,38.2975381,-122.286865
"Orting","WA","US",3,47.0978795,-122.2042824
"Santa Barbara","SB","HN",3,14.8446011,-88.3007689
"Woodinville","WA","US",3,47.7542651,-122.1634582
"Carnation","WA","US",2,47.6478787,-121.9140073
"Fort Collins","CO","US",2,40.5852602,-105.084423
"Hudson","NH","US",2,42.7647763,-71.4398074
"Kirkland","WA","US",2,47.6814875,-122.2087353
"Littleton","CO","US",2,39.613321,-105.0166498
"Tacoma","WA","US",2,47.2528768,-122.4442906
"Washington","DC","US",2,38.9071923,-77.0368707
"Wenatchee","WA","US",2,47.4234599,-120.3103494
"Auburn","WA","US",1,47.3073228,-122.2284532
"Bethesda","MD","US",1,38.984652,-77.0947092
"Bremerton","WA","US",1,47.5673202,-122.6329356
"Federal Way","WA","US",1,47.3223221,-122.3126222
"Flagstaff","AZ","US",1,35.1982836,-111.651302
"Indianola","WA","US",1,47.7470409,-122.525692
"Lebanon","OR","US",1,44.5365119,-122.9070339
"Mahopac","NY","US",1,41.372316,-73.733465
"Pretoria","GP","ZA",1,-25.7478676,28.2292712
"Reno","NV","US",1,39.5296329,-119.8138027
"Renton","WA","US",1,47.4828776,-122.2170661
"San Jose","CA","US",1,37.3382082,-121.8863286
"San Mateo","CA","US",1,37.5629917,-122.3255254
"Vacaville","CA","US",1,38.3565773,-121.9877444
"Vashon","WA","US",1,47.4473204,-122.4598502
"Virginia Beach","VA","US",1,36.8529263,-75.977985
